latitude,longitude,name,source,precision,,
41.9054642,-87.9610672,"556 West North Avenue, Elmhurst, Illinois 60126",Bing Maps,address,,
42.1487367,-87.8034613,"300 Revere Drive, Northbrook, Illinois 60062",Bing Maps,address,,
42.375976,-88.070251,"1512 N Route 83, Round Lake Beach, Illinois 60073",Bing Maps,address,,
41.448308,-87.7167354,"1 University Parkway, University Park, Illinois 60484",Bing Maps,address,,
40.707695,-89.5187607,"1 College Drive, East Peoria, Illinois 61635",Bing Maps,address,,
40.5668144,-89.6469803,"315 Buena Vista, Pekin, Illinois 61554",Bing Maps,address,,
41.9595337,-87.6987686,"4300 North California Avenue, Chicago, Illinois 60618",Bing Maps,address,,
37.743085,-88.4382328,"3575 College Road, Harrisburg, Illinois 62946",Bing Maps,address,,
41.997348,-88.317802,"1250 West Spring Street, South Elgin, Illinois 60177",Bing Maps,address,,
41.899265,-87.805908,"1040 North Harlem Avenue, River Forest, Illinois 60305",Bing Maps,address,,
39.7965546,-89.6641235,"533 S. Walnut Street, Springfield, Illinois 62704",Bing Maps,address,,
41.8998277,-87.6626969,"1400 West Augusta Blvd, Chicago, Illinois 60642",Bing Maps,address,,
42.0892792,-88.105957,"3600 Lexington Drive, Hoffman Estates, Illinois 60192",Bing Maps,address,,
41.882791,-87.6295093,"40 North Dearborn Street, Chicago, Illinois 60602",Bing Maps,address,,
41.7513046,-87.5790939,"1845 East 79th Street, Chicago, Illinois 60649",Bing Maps,address,,
42.0110703,-87.7056427,"3003 West Touhy Avenue, Chicago, Illinois 60645",Bing Maps,address,,
41.9953647,-87.7292318,"4008 W. Rosemont, Chicago, Illinois 60646",Bing Maps,address,,
41.6335749,-87.6322572,"419 West 144th Street, Riverdale, Illinois 60827",Bing Maps,address,,
41.9213715,-87.6483078,"2145 North Halsted Street, Chicago, Illinois 60614",Bing Maps,address,,
41.6627884,-87.6915665,"2844 Burr Oak Avenue, Blue Island, Illinois 60406",Bing Maps,address,,
42.1568413,-88.0622253,"21955 W Field Parkway, Deer Park, Illinois 60010",Bing Maps,address,,
41.9709015,-87.6796188,"4908 North Damen Avenue, Chicago, Illinois 60625",Bing Maps,address,,
41.908618,-87.636534,"1431 N. North Park Avenue, Chicago, Illinois 60610",Bing Maps,address,,
41.9020191,-87.6379958,"363 W. Hill, Chicago, Illinois 60610",Bing Maps,address,,
41.8289953,-87.7666439,"5721 West 35th Street, Cicero, Illinois 60804",Bing Maps,address,,
41.6005058,-87.5967789,"831 East 162nd Street, South Holland, Illinois 60473",Bing Maps,address,,
40.1059402,-88.2204026,"1005 West Nevada, Urbana, Illinois 61801",Bing Maps,address,,
42.0822487,-87.7549896,"1050 Skokie Boulevard, Wilmette, Illinois 60091",Bing Maps,address,,
41.8549,-87.623069,"2001 South Michigan Avenue, Chicago, Illinois 60616",Bing Maps,address,,
41.7589531,-87.5930557,"1300 East 75th Street, Chicago, Illinois 60619",Bing Maps,address,,
41.6855888,-87.6417618,"11443 South Halsted Street, Chicago, Illinois 60628",Bing Maps,address,,
41.748413,-87.683197,"7956 South Western Avenue, Chicago, Illinois 60620",Bing Maps,address,,
41.8529549,-87.7181549,"3701 W. Ogden Ave., Chicago, Illinois 60623",Bing Maps,address,,
42.0312805,-88.276062,"210 National Street, Elgin, Illinois 60120",Bing Maps,address,,
40.1236676,-88.2436191,"809 North Neil Street, Champaign, Illinois 61820",Bing Maps,address,,
41.8623365,-87.6924748,"2653 West Ogden Avenue, Chicago, Illinois 60608",Bing Maps,address,,
41.705471,-87.778213,"10255 S. Ridgeland Avenue, Chicago Ridge, Illinois 60415",Bing Maps,address,,
41.7255974,-87.7344513,"4527 Southwest Highway, Oak Lawn, Illinois 60453",Bing Maps,address,,
42.0209818,-87.750951,"7701 Lincoln Avenue, Skokie, Illinois 60077",Bing Maps,address,,
41.7338486,-87.8205643,"8020 West 87th Street, Hickory Hills, Illinois 60457",Bing Maps,address,,
42.0075951,-87.6695557,"1545 W. Morse Avenue, Chicago, Illinois 60626",Bing Maps,address,,
41.9839211,-87.6685104,"5611 N. Clark Street, Chicago, Illinois 60660",Bing Maps,address,,
41.6333449,-87.5591797,"14421 Torrence Avenue, Burnham, Illinois 60633",Bing Maps,address,,
41.941494,-87.704361,"3300 N. Whipple Street, Chicago, Illinois 60618",Bing Maps,address,,
42.0964279,-88.0623169,"721 South Quentin Road, Palatine, Illinois 60067",Bing Maps,address,,
